,Out Datetime,In Datetime,Name,Voltage(kV),LineType,GenFlag,Length(miles),Duration(minutes),OutageType,Dispatcher Cause,Field Cause,District,OutageID
5036,09/17/1999 01:50,09/17/1999 01:59,Diamond Lake-Albeni Falls section of Sacheen-Albeni Falls No 1 115kV line,115.0,S, ,8.20,9,Auto,Foreign Trouble,Foreign Trouble,SPK,117778
5037,09/17/1999 01:50,09/17/1999 01:59,Sacheen-Albeni Falls No 1 115kV line,115.0,L,G,13.72,9,Auto,Foreign Trouble,Foreign Trouble,SPK,117778
5038,09/17/1999 01:50,09/17/1999 04:31,Albeni Falls-Newport section of Albeni Falls-Pine Street No 1 115kV line,115.0,S, ,2.11,161,Auto,Foreign Trouble,Foreign Trouble,SPK,117779
5039,09/17/1999 01:50,09/17/1999 04:31,Albeni Falls-Pine Street No 1 115kV line,115.0,L,G,2.27,161,Auto,Foreign Trouble,Foreign Trouble,SPK,117779
5040,09/17/1999 01:50,09/17/1999 04:30,Albeni Falls-Priest River AVA section of Albeni Falls-Sand Creek No 1 115kV line,115.0,S, ,4.43,160,Auto,Foreign Trouble,Foreign Trouble,SPK,117780
5041,09/17/1999 01:50,09/17/1999 04:30,Albeni Falls-Sand Creek No 1 115kV line,115.0,L,G,29.67,160,Auto,Foreign Trouble,Foreign Trouble,SPK,117780
5042,09/17/1999 05:01,09/17/1999 05:01,Grand Coulee-Hanford No 1 500kV line,500.0,L, ,96.03,0,Auto,Unknown,Unknown,WEN TRI,117781
5043,09/17/1999 05:38,09/17/1999 17:00,Ice Harbor-Franklin No 3 115kV line,115.0,L,G,9.08,682,Plan,Foreign Request,,TRI,117789
5044,09/17/1999 05:38,09/17/1999 17:00,Ice Harbor-Levey section of Ice Harbor-Franklin No 3 115kV line,115.0,S, ,0.88,682,Plan,Foreign Request,,TRI,117789
5045,09/17/1999 06:07,09/17/1999 16:28,La Grande-IPC Brownlee No 1 230kV line,230.0,L, ,79.30,621,Plan,Foreign Request,,TRI,117790
5046,09/17/1999 06:07,09/17/1999 16:28,Quartz tap to La Grande-IPC Brownlee No 1 230kV line,230.0,T,G,10.30,621,Plan,Foreign Request,,TRI,117790
5047,09/17/1999 07:27,09/17/1999 13:20,Belfair-Kitsap section of Shelton-Kitsap No 2 115kV line,115.0,S, ,10.91,353,Plan,Maintenance,,OLY,117791
5048,09/17/1999 07:27,09/17/1999 13:20,Shelton-Kitsap No 2 115kV line,115.0,L,G,30.34,353,Plan,Maintenance,,OLY,117791
5049,09/17/1999 07:38,09/17/1999 08:19,Centralia Switching Station-TPWR Cowlitz section of Chehalis-Covington No 1 230kV line,230.0,S, ,35.80,41,Plan,Switching,,OLY COV,117792
5050,09/17/1999 07:38,09/17/1999 08:19,Chehalis-Covington No 1 230kV line,230.0,L,G,69.40,41,Plan,Switching,,OLY COV,117792
5051,09/17/1999 07:43,09/17/1999 08:19,Chehalis-Covington No 1 230kV line,230.0,L,T,69.40,36,Plan,Switching,,OLY COV,117793
5052,09/17/1999 07:43,09/17/1999 08:19,Cowlitz tap to Chehalis-Covington No 1 230kV line,230.0,T, ,6.30,36,Plan,Switching,,COV,117793
5053,09/17/1999 07:43,09/17/1999 14:04,Chehalis-Covington No 1 230kV line,230.0,L,O,69.40,381,Plan,PCS Cellular Work,,OLY COV,117794
5054,09/17/1999 07:43,09/17/1999 14:04,TPWR Cowlitz-Covington section of Chehalis-Covington No 1 230kV line,230.0,S, ,23.30,381,Plan,PCS Cellular Work,,COV,117794
5055,09/17/1999 08:07,09/17/1999 16:28,Albany-Eugene No 1 115kV line,115.0,L,G,39.80,501,Plan,Maintenance,,EUG,117795
5056,09/17/1999 08:07,09/17/1999 16:28,Albany-Harrisburg section of Albany-Eugene No 1 115kV line,115.0,S, ,22.60,501,Plan,Maintenance,,EUG,117795
5057,09/17/1999 09:12,09/17/1999 09:12,Canby tap to Malin-Hilltop No 1 230kV line,230.0,T,G,7.85,0,Auto,Unknown,Unknown,RED,117796
5058,09/17/1999 09:12,09/17/1999 09:12,Canby-Hilltop section of Malin-Hilltop No 1 230kV line,230.0,S,G,18.72,0,Auto,Unknown,Unknown,RED,117796
5059,09/17/1999 09:12,09/17/1999 09:12,Malin-Canby section of Malin-Hilltop No 1 230kV line,230.0,S,G,43.54,0,Auto,Unknown,Unknown,RED,117796
5060,09/17/1999 09:12,09/17/1999 09:12,Malin-Hilltop No 1 230kV line,230.0,L, ,62.26,0,Auto,Unknown,Unknown,RED,117796
5061,09/17/1999 09:12,09/17/1999 09:12,Hilltop-Bordertown No 1 345kV line,345.0,L, ,147.00,0,Auto,Forced (Configuration),,RED,117797
5062,09/17/1999 09:12,09/17/1999 09:12,Hilltop-Warner No 1 230kV line,230.0,L, ,8.77,0,Auto,Unknown,Unknown,RED,117798
5063,09/17/1999 10:03,09/17/1999 11:24,Paul-Satsop No 1 500kV line,500.0,L, ,46.47,81,Plan,Testing,,OLY,117799
5064,09/17/1999 17:23,09/23/1999 09:04,Albany-Eugene No 1 115kV line,115.0,L,G,39.80,8141,Plan,Normally Out,,EUG,117800
5065,09/17/1999 17:23,09/23/1999 09:04,Harrisburg-Alderwood section of Albany-Eugene No 1 115kV line,115.0,S, ,8.28,8141,Plan,Normally Out,,EUG,117800
5066,09/17/1999 21:56,09/17/1999 21:58,Buckley-Grizzly No 1 500kV line,500.0,L, ,53.60,2,Auto,Unknown,Unknown,TDA RED,117801
5067,09/17/1999 23:59,10/24/1999 10:25,Columbia Generating Station-Ashe No 1 500kV line,500.0,L, ,0.55,52466,Plan,Foreign Request,,TRI,117802
5068,09/18/1999 01:08,09/18/1999 06:35,Schultz-Raver No 1 500kV line,500.0,L, ,77.24,327,Plan,Voltage Control,,WEN COV,117803
5069,09/18/1999 03:10,09/18/1999 07:13,Columbia Falls-Stillwater section of Columbia Falls-Trego No 1 115kV line,115.0,S,G,18.58,243,Plan,Maintenance,,KAL,117804
5070,09/18/1999 03:10,09/18/1999 07:13,Columbia Falls-Trego No 1 115kV line,115.0,L, ,45.96,243,Plan,Maintenance,,KAL,117804
5071,09/18/1999 03:10,09/18/1999 07:13,Stillwater tap to Columbia Falls-Trego No 1 115kV line,115.0,T,G,0.10,243,Plan,Maintenance,,KAL,117804
5072,09/18/1999 03:10,09/18/1999 07:13,Stillwater-Trego section of Columbia Falls-Trego No 1 115kV line,115.0,S,G,27.38,243,Plan,Maintenance,,KAL,117804
5073,09/18/1999 05:30,09/18/1999 17:00,Ice Harbor-Franklin No 3 115kV line,115.0,L,G,9.08,690,Plan,Foreign Request,,TRI,117809
5074,09/18/1999 05:30,09/18/1999 17:00,Ice Harbor-Levey section of Ice Harbor-Franklin No 3 115kV line,115.0,S, ,0.88,690,Plan,Foreign Request,,TRI,117809
5075,09/18/1999 06:28,09/18/1999 09:26,Celilo-Sylmar Pole No 4 1000kV line,1000.0,L,T,844.15,178,Plan,Forced,,TDA RED,117810
5076,09/18/1999 06:28,09/18/1999 09:26,Converter 2 tap to Celilo-Sylmar Pole No 4 1000kV line,1000.0,T, ,,178,Plan,Forced,,TDA,117810
5077,09/18/1999 16:09,09/18/1999 18:00,Grizzly-PGE Round Butte No 1 500kV line,500.0,L, ,15.60,111,Auto,Foreign Trouble,Foreign Trouble,RED,117811
5078,09/19/1999 03:10,09/19/1999 06:31,Columbia Falls-Stillwater section of Columbia Falls-Trego No 1 115kV line,115.0,S,G,18.58,201,Plan,Maintenance,,KAL,117812
5079,09/19/1999 03:10,09/19/1999 06:31,Columbia Falls-Trego No 1 115kV line,115.0,L, ,45.96,201,Plan,Maintenance,,KAL,117812
5080,09/19/1999 03:10,09/19/1999 06:31,Stillwater tap to Columbia Falls-Trego No 1 115kV line,115.0,T,G,0.10,201,Plan,Maintenance,,KAL,117812
5081,09/19/1999 03:10,09/19/1999 06:31,Stillwater-Trego section of Columbia Falls-Trego No 1 115kV line,115.0,S,G,27.38,201,Plan,Maintenance,,KAL,117812
5082,09/19/1999 05:30,09/19/1999 16:37,Ice Harbor-Franklin No 3 115kV line,115.0,L,G,9.08,667,Plan,Foreign Request,,TRI,117816
5083,09/19/1999 05:30,09/19/1999 16:37,Ice Harbor-Levey section of Ice Harbor-Franklin No 3 115kV line,115.0,S, ,0.88,667,Plan,Foreign Request,,TRI,117816
5084,09/19/1999 12:12,09/19/1999 12:26,Ashe-Marion No 2 500kV line,500.0,L, ,224.01,14,Auto,Dispatcher,Dispatcher,TRI TDA RED SAL,117817
5085,09/20/1999 01:42,09/20/1999 08:04,Fairview-Bandon No 1 115kV line,115.0,L,G,25.16,382,Auto,Unknown,Line Material Failure,EUG,117818
