,Out Datetime,In Datetime,Name,Voltage(kV),Duration(minutes),OutageType,Dispatcher Cause,Field Cause,System In Control,MW Intrpt,District,OutageID
407,04/01/1999 04:48,04/01/1999 04:48,Snohomish: Snohomish Co PUD 115kV Feeder 8,115.0,0,Auto,Unknown,,Unknown Trouble,68,SNO,114950
408,04/01/1999 06:52,04/01/1999 07:05,Valley RREC: Raft River Elec 138kV Feeder 1 by USBR GENERAL,138.0,13,Auto,Foreign Trouble,,Transferor Trouble,1,IDF,114956
409,04/01/1999 06:52,04/01/1999 07:05,Bridge: Raft River Elec 138kV Feeder 1,138.0,13,Auto,Foreign Trouble,Foreign Trouble,Customer Trouble,1,IDF,114957
410,04/01/1999 06:52,04/01/1999 07:05,West Wendover Metering Point: Wells Rural E Co 138kV Feeder 1 by Raft River Elec,138.0,13,Auto,Foreign Trouble,Foreign Trouble,Transferor Trouble,12,IDF,114958
411,04/01/1999 06:52,04/01/1999 07:05,Grouse Creek Metering Point: Raft River Elec 138kV Feeder 1 by USBR GENERAL,138.0,13,Auto,Foreign Trouble,,Transferor Trouble,1,IDF,114959
412,04/01/1999 06:52,04/01/1999 07:05,Idahome: Raft River Elec 34.5kV Feeder 1,34.5,13,Auto,Foreign Trouble,Foreign Trouble,Transferor Trouble,1,IDF,114960
413,04/01/1999 06:52,04/01/1999 07:05,Tecoma Metering Point: Raft River Elec 138kV Feeder 1 by USBR GENERAL,138.0,13,Auto,Foreign Trouble,,Transferor Trouble,1,IDF,114961
414,04/01/1999 06:52,04/01/1999 07:05,Bridge: Raft River Elec 34.5kV Feeder 1,34.5,13,Auto,Foreign Trouble,Foreign Trouble,Customer Trouble,1,IDF,114962
415,04/01/1999 06:52,04/01/1999 07:05,Kelton: Raft River Elec 138kV Feeder 1 by USBR GENERAL,138.0,13,Auto,Foreign Trouble,Foreign Trouble,Transferor Trouble,Unknown,IDF,114963
416,04/01/1999 06:52,04/01/1999 07:05,Curlew: Raft River Elec 24.9kV Feeder 1,24.9,13,Auto,Foreign Trouble,Foreign Trouble,Customer Trouble,Unknown,IDF,114964
417,04/01/1999 08:21,04/01/1999 18:01,Valhalla: Chelan Co PUD 115kV Feeder 2,115.0,580,Plan,Maintenance,,BPA Request,None,WEN,114965
418,04/01/1999 09:09,04/01/1999 09:25,Canby: Surprise Valley 69kV Feeder 1,69.0,16,Plan,Foreign Request,,Customer Request,4,RED,114966
419,04/01/1999 09:46,04/01/1999 09:47,Canby: Surprise Valley 69kV Feeder 1,69.0,1,Plan,Foreign Request,,Customer Request,4,RED,114967
420,04/01/1999 17:30,04/01/1999 17:31,Canby: Surprise Valley 69kV Feeder 1,69.0,1,Plan,Foreign Request,,Customer Request,4,RED,114968
421,04/02/1999 04:00,04/02/1999 04:16,Carson: Skamania Co PUD 12.5kV Feeder 1,12.5,16,Plan,Switching,,BPA Request,Unknown,LGV,114969
422,04/02/1999 04:00,04/02/1999 04:16,North Bonneville: Skamania Co PUD 12.5kV Feeder 1,12.5,16,Plan,Switching,,BPA Request,Unknown,LGV,114970
423,04/02/1999 04:00,04/02/1999 04:16,Stevenson: Skamania Co PUD 12.5kV Feeder 1,12.5,16,Plan,Switching,,BPA Request,Unknown,LGV,114971
